Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	15

Number of cycles in input:	1

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

21.2212627	-23.4140519	-25.1636843	-0.6200670	-0.7621286	0.1862173	-0.5826948	0.2884355	-0.7597840
21.0771973	-23.5438223	-25.1032651	-0.6262291	-0.7574654	0.1846166	-0.5788613	0.2931096	-0.7609247
20.9323383	-23.6727063	-25.0435403	-0.6324684	-0.7526943	0.1828523	-0.5748631	0.2979065	-0.7620920
20.7866913	-23.8006991	-24.9845606	-0.6387802	-0.7478138	0.1809263	-0.5706996	0.3028207	-0.7632834
20.6402616	-23.9277958	-24.9263757	-0.6451593	-0.7428226	0.1788407	-0.5663701	0.3078471	-0.7644966
20.4930548	-24.0539916	-24.8690337	-0.6516007	-0.7377194	0.1765974	-0.5618739	0.3129804	-0.7657290
20.3450765	-24.1792818	-24.8125818	-0.6580994	-0.7325027	0.1741981	-0.5572104	0.3182155	-0.7669782
20.1963322	-24.3036616	-24.7570657	-0.6646504	-0.7271712	0.1716448	-0.5523788	0.3235471	-0.7682415
20.0468275	-24.4271265	-24.7025301	-0.6712485	-0.7217236	0.1689393	-0.5473786	0.3289701	-0.7695163
19.8965681	-24.5496716	-24.6490186	-0.6778888	-0.7161585	0.1660836	-0.5422092	0.3344795	-0.7708000
19.7455596	-24.6712925	-24.5965733	-0.6845660	-0.7104748	0.1630793	-0.5368701	0.3400700	-0.7720899
19.5938077	-24.7919846	-24.5452357	-0.6912752	-0.7046712	0.1599286	-0.5313609	0.3457365	-0.7733834
19.4413180	-24.9117432	-24.4950457	-0.6980111	-0.6987464	0.1566331	-0.5256812	0.3514739	-0.7746776
19.2880964	-25.0305639	-24.4460425	-0.7047687	-0.6926993	0.1531949	-0.5198305	0.3572772	-0.7759698
19.1341487	-25.1484422	-24.3982641	-0.7115428	-0.6865289	0.1496158	-0.5138088	0.3631412	-0.7772573
18.9794805	-25.2653737	-24.3517475	-0.7183282	-0.6802340	0.1458979	-0.5076158	0.3690608	-0.7785373
18.8240978	-25.3813540	-24.3065288	-0.7251198	-0.6738137	0.1420432	-0.5012514	0.3750310	-0.7798069
18.6680064	-25.4963787	-24.2626431	-0.7319124	-0.6672671	0.1380537	-0.4947156	0.3810465	-0.7810634
18.5112121	-25.6104434	-24.2201243	-0.7387008	-0.6605932	0.1339315	-0.4880086	0.3871024	-0.7823038
18.3537209	-25.7235440	-24.1790059	-0.7454798	-0.6537914	0.1296788	-0.4811306	0.3931935	-0.7835255
18.1955386	-25.8356760	-24.1393200	-0.7522443	-0.6468609	0.1252976	-0.4740818	0.3993147	-0.7847255
18.0366714	-25.9468354	-24.1010982	-0.7589889	-0.6398011	0.1207904	-0.4668628	0.4054610	-0.7859011
17.8771250	-26.0570179	-24.0643711	-0.7657087	-0.6326115	0.1161592	-0.4594739	0.4116272	-0.7870494
17.7169056	-26.1662193	-24.0291685	-0.7723983	-0.6252915	0.1114066	-0.4519159	0.4178082	-0.7881677
17.5560192	-26.2744356	-23.9955194	-0.7790526	-0.6178409	0.1065349	-0.4441895	0.4239991	-0.7892531
17.3944717	-26.3816627	-23.9634520	-0.7856664	-0.6102594	0.1015465	-0.4362957	0.4301947	-0.7903029
17.2322694	-26.4878965	-23.9329940	-0.7922348	-0.6025468	0.0964440	-0.4282353	0.4363900	-0.7913143
17.0694183	-26.5931331	-23.9041720	-0.7987524	-0.5947030	0.0912299	-0.4200096	0.4425800	-0.7922846
16.9059246	-26.6973685	-23.8770124	-0.8052144	-0.5867280	0.0859069	-0.4116198	0.4487596	-0.7932112
16.7417943	-26.8005987	-23.8515405	-0.8116156	-0.5786221	0.0804777	-0.4030672	0.4549239	-0.7940913
16.5770338	-26.9028199	-23.8277811	-0.8179510	-0.5703853	0.0749449	-0.3943534	0.4610679	-0.7949225
16.4116491	-27.0040282	-23.8057587	-0.8242157	-0.5620181	0.0693116	-0.3854801	0.4671868	-0.7957020
16.2456465	-27.1042198	-23.7854967	-0.8304048	-0.5535209	0.0635804	-0.3764490	0.4732755	-0.7964273
16.0790323	-27.2033910	-23.7670184	-0.8365134	-0.5448943	0.0577543	-0.3672619	0.4793292	-0.7970961
15.9118127	-27.3015379	-23.7503462	-0.8425367	-0.5361389	0.0518364	-0.3579210	0.4853432	-0.7977058
15.7439941	-27.3986570	-23.7355023	-0.8484699	-0.5272556	0.0458296	-0.3484284	0.4913126	-0.7982541
15.5755827	-27.4947446	-23.7225083	-0.8543085	-0.5182451	0.0397372	-0.3387864	0.4972328	-0.7987386
15.4065849	-27.5897970	-23.7113853	-0.8600477	-0.5091086	0.0335622	-0.3289974	0.5030989	-0.7991572
15.2370070	-27.6838106	-23.7021541	-0.8656830	-0.4998472	0.0273079	-0.3190640	0.5089065	-0.7995076
15.0668555	-27.7767820	-23.6948348	-0.8712101	-0.4904620	0.0209775	-0.3089889	0.5146509	-0.7997877
14.8961367	-27.8687076	-23.6894475	-0.8766244	-0.4809544	0.0145745	-0.2987749	0.5203276	-0.7999955
14.7248571	-27.9595839	-23.6860116	-0.8819218	-0.4713260	0.0081021	-0.2884250	0.5259322	-0.8001289
14.5530231	-28.0494076	-23.6845464	-0.8870981	-0.4615783	0.0015639	-0.2779422	0.5314604	-0.8001862
14.3806412	-28.1381752	-23.6850707	-0.8921491	-0.4517130	-0.0050368	-0.2673297	0.5369078	-0.8001655
14.2077178	-28.2258835	-23.6876031	-0.8970709	-0.4417319	-0.0116963	-0.2565909	0.5422701	-0.8000651
14.0342596	-28.3125290	-23.6921618	-0.9018595	-0.4316369	-0.0184110	-0.2457293	0.5475434	-0.7998834
13.8602730	-28.3981086	-23.6987649	-0.9065113	-0.4214302	-0.0251774	-0.2347483	0.5527234	-0.7996187
13.6857645	-28.4826191	-23.7074302	-0.9110225	-0.4111138	-0.0319917	-0.2236518	0.5578063	-0.7992697
13.5107408	-28.5660572	-23.7181751	-0.9153896	-0.4006900	-0.0388503	-0.2124435	0.5627881	-0.7988349
13.3352084	-28.6484197	-23.7310170	-0.9196093	-0.3901613	-0.0457493	-0.2011274	0.5676651	-0.7983133
13.1591739	-28.7297037	-23.7459729	-0.9236781	-0.3795300	-0.0526850	-0.1897076	0.5724336	-0.7977034
12.9826440	-28.8099061	-23.7630599	-0.9275931	-0.3687988	-0.0596536	-0.1781881	0.5770901	-0.7970044
12.8056254	-28.8890237	-23.7822945	-0.9313511	-0.3579705	-0.0666511	-0.1665732	0.5816310	-0.7962153
12.6281246	-28.9670537	-23.8036935	-0.9349492	-0.3470477	-0.0736737	-0.1548673	0.5860530	-0.7953351
12.4501483	-29.0439931	-23.8272731	-0.9383849	-0.3360335	-0.0807175	-0.1430749	0.5903529	-0.7943633
12.2717033	-29.1198390	-23.8530498	-0.9416554	-0.3249308	-0.0877785	-0.1312006	0.5945276	-0.7932990
12.0927963	-29.1945886	-23.8810396	-0.9447584	-0.3137427	-0.0948527	-0.1192489	0.5985740	-0.7921420
