Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

-26.2742236	17.5550873	27.3781474	0.4972138	0.8642071	-0.0769711	-0.5982206	0.2772166	-0.7518531
-26.1660199	17.7161946	27.3470328	0.4970774	0.8636422	-0.0838818	-0.6007241	0.2727639	-0.7514855
-26.0568507	17.8774716	27.3164547	0.4968795	0.8630497	-0.0908622	-0.6032967	0.2682629	-0.7510446
-25.9467694	18.0362021	27.2831943	0.4943795	0.8634040	-0.1006106	-0.6077161	0.2605557	-0.7501946
-25.8356689	18.1966303	27.2504703	0.4913925	0.8638417	-0.1109542	-0.6125232	0.2522100	-0.7491364
-25.7236565	18.3529841	27.2102359	0.4937755	0.8620034	-0.1146121	-0.6129126	0.2514957	-0.7490581
-25.6101955	18.5112053	27.1705380	0.4960161	0.8601877	-0.1185123	-0.6134546	0.2505570	-0.7489290
-25.4962518	18.6680684	27.1276214	0.4951568	0.8595953	-0.1261571	-0.6164658	0.2452979	-0.7481970
-25.3813424	18.8240827	27.0804130	0.4916328	0.8599603	-0.1369870	-0.6215546	0.2363673	-0.7468604
-25.2649846	18.9787389	27.0385693	0.4957799	0.8573310	-0.1385129	-0.6206008	0.2381830	-0.7470766
-25.1485732	19.1337346	26.9892151	0.4953574	0.8564062	-0.1455662	-0.6232181	0.2336205	-0.7463381
-25.0302841	19.2875419	26.9393245	0.4990261	0.8539069	-0.1477023	-0.6225899	0.2347165	-0.7465186
-24.9118878	19.4415190	26.8819235	0.4987027	0.8528647	-0.1546526	-0.6250877	0.2302717	-0.7458152
-24.7920967	19.5932892	26.8341787	0.5017222	0.8505676	-0.1575108	-0.6250072	0.2305632	-0.7457926
-24.6713399	19.7450593	26.7778506	0.5003996	0.8498124	-0.1655872	-0.6283399	0.2248774	-0.7447276
-24.5495639	19.8971690	26.7220589	0.5041746	0.8471783	-0.1676212	-0.6276206	0.2261145	-0.7449595
-24.4272514	20.0469020	26.6625121	0.5107725	0.8434888	-0.1662472	-0.6245471	0.2311616	-0.7459928
-24.3040270	20.1966350	26.6072569	0.5089763	0.8428350	-0.1748492	-0.6283404	0.2249544	-0.7447038
-24.1793004	20.3441610	26.5444912	0.5127320	0.8401370	-0.1768495	-0.6275616	0.2261772	-0.7449902
-24.0540374	20.4932149	26.4903090	0.5159616	0.8376006	-0.1794682	-0.6272907	0.2267759	-0.7450363
-23.9278088	20.6397223	26.4280798	0.5237924	0.8333426	-0.1765833	-0.6231005	0.2334678	-0.7464841
-23.8006145	20.7865693	26.3653142	0.5228232	0.8322968	-0.1842224	-0.6262551	0.2284033	-0.7454103
-23.6728302	20.9323976	26.3030850	0.5307052	0.8279478	-0.1812577	-0.6219607	0.2351542	-0.7469052
-23.5440265	21.0768679	26.2413923	0.5337757	0.8253617	-0.1840150	-0.6217169	0.2355334	-0.7469887
-23.4142573	21.2204893	26.1802361	0.5361337	0.8230203	-0.1876119	-0.6220921	0.2349973	-0.7468451
-23.2834688	21.3656386	26.1142517	0.5421040	0.8192536	-0.1869407	-0.6193071	0.2391532	-0.7478399
-23.1517683	21.5070531	26.0488038	0.5467392	0.8159764	-0.1877732	-0.6176358	0.2416128	-0.7484312
-23.0198532	21.6486373	25.9828194	0.5474413	0.8141971	-0.1933678	-0.6194296	0.2388806	-0.7478256
-22.8861141	21.7893727	25.9216632	0.5502207	0.8115883	-0.1964220	-0.6194439	0.2389755	-0.7477834
-22.7517850	21.9301082	25.8562153	0.5595124	0.8063727	-0.1915955	-0.6135500	0.2475544	-0.7498488
-22.6168657	22.0684669	25.7955955	0.5624156	0.8036682	-0.1944381	-0.6134122	0.2478518	-0.7498633
-22.4814100	22.2069953	25.7296111	0.5669700	0.8002525	-0.1952972	-0.6117065	0.2502409	-0.7504630
-22.3445059	22.3446749	25.6641632	0.5724418	0.7964179	-0.1950101	-0.6091264	0.2538474	-0.7513498
-22.2070116	22.4811662	25.5992518	0.5770481	0.7929056	-0.1957451	-0.6073189	0.2563470	-0.7519641
-22.0685517	22.6179970	25.5380955	0.5840626	0.7883161	-0.1934645	-0.6031979	0.2620327	-0.7533201
-21.9293945	22.7522814	25.4726476	0.5935631	0.7825302	-0.1879611	-0.5964670	0.2709578	-0.7555190
-21.7893789	22.8855471	25.4109549	0.6003108	0.7778807	-0.1858185	-0.5923475	0.2763454	-0.7568075
-21.6486659	23.0191524	25.3497987	0.6029889	0.7750716	-0.1888609	-0.5923132	0.2763941	-0.7568166
-21.5069872	23.1515693	25.2832779	0.6070677	0.7715715	-0.1901215	-0.5908005	0.2782266	-0.7573274
-21.3642893	23.2844955	25.2258768	0.6164531	0.7654758	-0.1844787	-0.5837914	0.2871144	-0.7594425
-21.2209477	23.4147055	25.1641841	0.6225298	0.7608952	-0.1830166	-0.5800762	0.2916564	-0.7605578
-21.0770696	23.5427085	25.1019550	0.6293040	0.7558973	-0.1805431	-0.5755017	0.2971412	-0.7619087
-20.9321722	23.6722394	25.0434810	0.6336162	0.7520992	-0.1813210	-0.5735969	0.2994171	-0.7624540
-20.7866847	23.8007517	24.9855435	0.6372650	0.7486151	-0.1829447	-0.5723985	0.3008503	-0.7627903
-20.6401243	23.9282454	24.9270696	0.6415342	0.7447684	-0.1837222	-0.5704833	0.3031056	-0.7633320
-20.4933493	24.0533624	24.8680592	0.6497176	0.7387660	-0.1791421	-0.5640343	0.3105083	-0.7651470
-20.3452332	24.1800073	24.8133404	0.6605233	0.7311056	-0.1708612	-0.5543427	0.3214060	-0.7677254
-20.1960442	24.3029174	24.7580852	0.6626111	0.7283622	-0.1744563	-0.5548303	0.3208927	-0.7675879
-20.0470697	24.4275251	24.7028300	0.6687352	0.7232217	-0.1724635	-0.5504471	0.3256603	-0.7687349
-19.8966468	24.5499258	24.6513300	0.6763409	0.7171108	-0.1682708	-0.5441552	0.3324668	-0.7702992
-19.7456338	24.6709685	24.5992936	0.6846013	0.7104580	-0.1630047	-0.5368405	0.3401618	-0.7720701
-19.5936015	24.7923506	24.5472571	0.6932518	0.7033764	-0.1570462	-0.5287997	0.3483844	-0.7739504
-19.4413010	24.9127142	24.4946842	0.7009506	0.6967573	-0.1523074	-0.5217598	0.3553686	-0.7755513
-19.2884641	25.0308709	24.4464030	0.7069594	0.6911839	-0.1499105	-0.5168453	0.3602030	-0.7766110
-19.1341250	25.1490275	24.4018769	0.7106095	0.6871875	-0.1510215	-0.5151281	0.3619382	-0.7769452
-18.9796251	25.2649772	24.3519863	0.7197086	0.6792289	-0.1437625	-0.5056529	0.3709235	-0.7789293
-18.8244277	25.3810966	24.3063874	0.7274000	0.6720978	-0.1384694	-0.4979278	0.3781058	-0.7804511
-18.6682647	25.4963672	24.2650801	0.7334044	0.6661159	-0.1356744	-0.4925128	0.3830987	-0.7814515
-18.5114043	25.6106193	24.2226999	0.7385273	0.6607333	-0.1341969	-0.4882862	0.3869034	-0.7822291
-18.3535783	25.7236829	24.1803197	0.7433994	0.6554797	-0.1330550	-0.4843514	0.3903889	-0.7829433
-18.1959132	25.8357280	24.1422311	0.7508400	0.6480423	-0.1275949	-0.4763155	0.3974452	-0.7843219
-18.0363169	25.9467545	24.1025332	0.7576636	0.6409467	-0.1230171	-0.4690264	0.4036684	-0.7855355
-17.8769888	26.0567624	24.0628353	0.7647144	0.6334983	-0.1178633	-0.4611173	0.4102407	-0.7868122
-17.7170169	26.1672796	24.0317207	0.7716762	0.6259556	-0.1126742	-0.4531704	0.4168307	-0.7879649
-17.5559721	26.2750805	23.9995332	0.7784297	0.6184342	-0.1076403	-0.4453128	0.4231820	-0.7890586
-17.3942836	26.3820327	23.9625176	0.7829811	0.6128783	-0.1063987	-0.4410969	0.4264303	-0.7896776
-17.2323805	26.4877964	23.9335489	0.7915681	0.6032256	-0.0976669	-0.4294671	0.4354632	-0.7911573
-17.0694581	26.5927114	23.9040437	0.8000808	0.5932975	-0.0887065	-0.4174688	0.4444696	-0.7925696
-16.9058384	26.6966077	23.8740020	0.8046213	0.5873737	-0.0870439	-0.4127537	0.4478825	-0.7931176
-16.7416285	26.8008436	23.8520072	0.8123994	0.5777333	-0.0789389	-0.4014936	0.4560524	-0.7942412
-16.5771504	26.9027028	23.8257208	0.8185310	0.5697056	-0.0737735	-0.3931307	0.4618798	-0.7950568
-16.4115457	27.0033736	23.8026531	0.8232972	0.5631272	-0.0712003	-0.3874144	0.4658139	-0.7955674
-16.2454046	27.1043839	23.7828041	0.8288932	0.5554064	-0.0667811	-0.3797542	0.4710149	-0.7961983
-16.0789416	27.2031873	23.7629552	0.8379520	0.5430033	-0.0546244	-0.3639399	0.4814127	-0.7973641
-15.9118348	27.3023302	23.7473979	0.8418187	0.5371070	-0.0534539	-0.3595919	0.4842128	-0.7976413
-15.7440844	27.3989266	23.7345229	0.8469267	0.5294145	-0.0493502	-0.3521561	0.4889668	-0.7980586
-15.5752609	27.4946743	23.7216479	0.8552959	0.5167876	-0.0374110	-0.3362873	0.4987329	-0.7988594
-15.4066521	27.5892335	23.7119916	0.8594808	0.5099737	-0.0349216	-0.3304734	0.5022417	-0.7990874
-15.2368631	27.6829439	23.7017989	0.8658662	0.4995554	-0.0268367	-0.3185607	0.5092017	-0.7995203
-15.0669131	27.7756358	23.6910697	0.8718246	0.4894354	-0.0193606	-0.3072123	0.5155930	-0.7998653
-14.8958365	27.8686672	23.6883875	0.8782616	0.4780723	-0.0101652	-0.2939277	0.5229595	-0.8000749
-14.7249746	27.9591520	23.6894604	0.8826540	0.4699844	-0.0060494	-0.2861949	0.5271897	-0.8001022
-14.5529861	28.0487881	23.6808770	0.8877292	0.4603660	0.0002704	-0.2758880	0.5324681	-0.8002271
-14.3807293	28.1389335	23.6846322	0.8933981	0.4491799	0.0087936	-0.2631264	0.5390108	-0.8001449
-14.2078288	28.2265323	23.6878510	0.8964778	0.4429792	0.0098462	-0.2586597	0.5412456	-0.8000928
-14.0341773	28.3131126	23.6899968	0.9015611	0.4323006	0.0174290	-0.2468131	0.5469785	-0.7999361
-13.8603648	28.3986743	23.7007260	0.9066545	0.4210930	0.0256566	-0.2342125	0.5530000	-0.7995846
-13.6858549	28.4833872	23.7109187	0.9117440	0.4093015	0.0345707	-0.2207253	0.5591754	-0.7991265
-13.5110768	28.5655536	23.7195020	0.9147094	0.4024757	0.0363317	-0.2153474	0.5615418	-0.7989345
-13.3351722	28.6495874	23.7318406	0.9184905	0.3932766	0.0413376	-0.2061965	0.5655047	-0.7985534
-13.1589993	28.7297166	23.7484708	0.9242293	0.3778556	0.0550034	-0.1870336	0.5735737	-0.7975159
-12.9825045	28.8089970	23.7640281	0.9271765	0.3701374	0.0578094	-0.1803473	0.5762586	-0.7971204
-12.8058488	28.8885151	23.7828041	0.9318887	0.3560703	0.0692637	-0.1635276	0.5828125	-0.7959826
-12.6284421	28.9671334	23.8058718	0.9357402	0.3440010	0.0778050	-0.1500225	0.5878779	-0.7949169
-12.4503379	29.0447840	23.8273301	0.9380523	0.3373957	0.0788793	-0.1452405	0.5895661	-0.7945546
-12.2715364	29.1199561	23.8530801	0.9409051	0.3282618	0.0833176	-0.1364882	0.5926924	-0.7937800
-12.0928958	29.1943642	23.8820489	0.9450724	0.3121472	0.0969650	-0.1167371	0.5994254	-0.7918723
-11.9131286	29.2674990	23.9104812	0.9482369	0.2993320	0.1060527	-0.1022883	0.6040533	-0.7903523
-11.7334687	29.3412451	23.9464239	0.9501868	0.2928109	0.1068030	-0.0978102	0.6054873	-0.7898217
-11.5535943	29.4112054	23.9775385	0.9530983	0.2792488	0.1167204	-0.0822562	0.6101251	-0.7880237
-11.3724860	29.4822861	24.0166999	0.9552577	0.2698672	0.1210555	-0.0733758	0.6127109	-0.7868935
-11.1915923	29.5513636	24.0547884	0.9572816	0.2606782	0.1251356	-0.0647796	0.6150963	-0.7857863
-11.0099475	29.6191678	24.0966322	0.9598925	0.2429135	0.1399976	-0.0429503	0.6208447	-0.7827561
-10.8280345	29.6867683	24.1374030	0.9617171	0.2313664	0.1468669	-0.0307963	0.6237732	-0.7809984
-10.6453704	29.7528410	24.1862207	0.9632257	0.2239690	0.1484391	-0.0251417	0.6251506	-0.7800991
-10.4628673	29.8170802	24.2345020	0.9647643	0.2130915	0.1543433	-0.0141151	0.6276698	-0.7783517
-10.2800424	29.8808610	24.2854655	0.9661527	0.1977195	0.1656983	0.0037512	0.6314787	-0.7753842
-10.0960908	29.9442344	24.3407207	0.9673083	0.1860790	0.1723055	0.0158007	0.6338885	-0.7732630
-9.9122466	30.0054008	24.3943665	0.9682498	0.1736976	0.1797819	0.0289871	0.6363086	-0.7708898
-9.7276513	30.0658881	24.4523040	0.9688425	0.1590533	0.1898587	0.0455261	0.6391322	-0.7677483
-9.5432170	30.1242025	24.5134603	0.9698619	0.1528224	0.1897713	0.0492711	0.6397524	-0.7670001
-9.3584071	30.1827885	24.5783717	0.9700558	0.1380371	0.1998437	0.0659227	0.6422782	-0.7636314
-9.1729535	30.2390827	24.6416738	0.9700112	0.1237992	0.2091698	0.0817152	0.6443768	-0.7603296
-8.9874998	30.2955806	24.7092675	0.9699611	0.1113505	0.2162790	0.0947523	0.6459275	-0.7574956
-8.8014025	30.3495150	24.7800800	0.9702854	0.1023800	0.2192362	0.1025150	0.6467896	-0.7557472
-8.6145004	30.4034834	24.8541113	0.9699645	0.0901372	0.2259294	0.1151338	0.6480526	-0.7528427
-8.4281348	30.4552448	24.9318977	0.9691144	0.0761780	0.2345513	0.1302834	0.6493899	-0.7492122
-8.2410718	30.5063611	25.0086112	0.9690412	0.0669617	0.2376454	0.1383439	0.6499673	-0.7472640
-8.0536333	30.5565268	25.0885435	0.9671222	0.0502052	0.2493071	0.1575868	0.6511159	-0.7424382
-7.8662484	30.6052324	25.1722310	0.9667935	0.0410215	0.2522449	0.1655280	0.6514914	-0.7403779
-7.6781662	30.6531232	25.2596737	0.9657464	0.0294572	0.2578103	0.1769518	0.6519306	-0.7373429
-7.4901912	30.6994691	25.3455070	0.9646215	0.0182121	0.2630090	0.1879260	0.6521761	-0.7344046
-7.3009824	30.7448813	25.4350956	0.9625116	0.0041983	0.2712080	0.2029220	0.6523319	-0.7302641
-7.1127928	30.7890373	25.5284393	0.9609281	-0.0074311	0.2766984	0.2143835	0.6523116	-0.7270002
-6.9237449	30.8320898	25.6244653	0.9600793	-0.0164791	0.2792421	0.2220022	0.6522237	-0.7247891
-6.7344288	30.8740897	25.7242466	0.9566877	-0.0323749	0.2893103	0.2396512	0.6517919	-0.7195378
-6.5447371	30.9147145	25.8279976	0.9555948	-0.0414469	0.2917546	0.2472298	0.6515339	-0.7172036
-6.3550991	30.9543717	25.9300856	0.9526500	-0.0549387	0.2990648	0.2613187	0.6508031	-0.7128590
-6.1651393	30.9927896	26.0359288	0.9503589	-0.0663347	0.3040026	0.2722965	0.6500961	-0.7093869
-5.9744284	31.0301040	26.1492824	0.9461427	-0.0818059	0.3132441	0.2891321	0.6488233	-0.7038685
-5.7842003	31.0661961	26.2620996	0.9436152	-0.0929118	0.3177384	0.2996213	0.6478502	-0.7003694
-5.5935966	31.1010319	26.3737902	0.9410968	-0.1036731	0.3218520	0.3096259	0.6467602	-0.6970172
-5.4026712	31.1347473	26.4928840	0.9362579	-0.1188468	0.3306004	0.3259688	0.6448271	-0.6913338
-5.2113165	31.1673762	26.6156256	0.9344579	-0.1276241	0.3324162	0.3329840	0.6439141	-0.6888370
-5.0200691	31.1987658	26.7354167	0.9308659	-0.1395662	0.3376534	0.3446446	0.6421954	-0.6846935
-4.8284462	31.2290349	26.8635230	0.9271002	-0.1515461	0.3428103	0.3562756	0.6403885	-0.6804192
-4.6369306	31.2579459	26.9908782	0.9231953	-0.1634199	0.3478568	0.3677784	0.6384050	-0.6761494
-4.4445567	31.2858723	27.1255292	0.9214305	-0.1714174	0.3486861	0.3735988	0.6373796	-0.6739222
-4.2531484	31.3124406	27.2593219	0.9173052	-0.1831852	0.3535455	0.3849218	0.6352026	-0.6695916
